HIDRoot12	MorexRoot12	HIDRoot11	RumRhizo12	RumRoot11	MorexRoot11	RumRoot10	HIDRhizo12	MorexRhizo10	HIDRhizo11	RumRhizo10	HIDRoot10	Bulk10	MorexRhizo11	MorexRhizo12	HIDRhizo10	MorexRoot10	RumRhizo11	RumRoot12	Bulk11	Bulk12	MorexRhizo20	RumRhizo21	RumRoot22	MorexRhizo22	RumRhizo20	MorexRhizo23	HIDRhizo21	MorexRoot23	MorexRoot20	Bulk23	Bulk20	RumRoot20	HIDRoot20	Bulk22	MorexRoot22	HIDRhizo22	HIDRoot21	HIDRoot22	RumRhizo22	RumRoot21	HIDRhizo20
OTU168	2	11	1	1	19	7	4	3	1	13	0	17	0	7	10	10	3	9	2	2	0	0	0	2	5	1	1	0	0	4	0	18	4	0	1	0	2	3	1	31	9	0
OTU69	3	1	2	10	4	2	14	8	7	14	7	6	5	2	9	12	3	6	1	8	8	7	5	3	7	13	2	8	0	2	15	42	0	2	22	0	0	2	0	1	0	1
OTU177	0	0	0	4	1	1	3	3	1	6	3	1	1	0	1	3	1	0	3	3	4	7	2	0	2	4	2	1	3	4	21	12	0	2	14	0	1	3	2	3	0	6
OTU62	1	4	7	8	1	3	1	4	0	2	0	5	0	1	1	2	0	0	0	0	0	16	8	12	5	5	6	1	7	53	0	0	1	8	0	9	2	12	22	7	6	3
OTU58	0	4	0	3	3	0	1	1	2	1	0	3	0	1	4	0	2	208	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU79	9	14	10	17	6	21	4	37	7	28	3	37	1	5	14	21	4	12	4	3	0	4	1	0	2	11	0	3	3	5	6	1	2	1	4	1	8	1	3	1	1	3
OTU71	5	3	20	4	2	4	8	2	1	11	0	8	0	0	6	5	2	2	1	0	0	8	3	2	2	5	4	2	3	32	0	0	2	12	0	4	0	7	4	5	18	7
OTU167	4	19	10	21	15	19	26	6	16	8	5	31	6	4	6	8	18	6	2	8	4	19	3	3	11	13	8	5	30	20	3	2	24	2	3	32	2	2	8	5	9	4
OTU235	0	0	0	2	0	0	0	1	1	3	1	1	3	0	5	8	0	1	0	1	1	0	0	0	1	2	0	0	0	0	3	3	0	0	7	1	0	0	0	0	0	0
OTU471	5	5	1	4	3	4	14	2	3	0	6	7	2	0	7	0	3	1	2	1	2	7	1	2	4	0	1	0	1	8	3	1	1	12	3	5	1	3	2	0	1	1
OTU205	4	7	14	16	7	9	14	8	1	11	3	29	0	2	3	5	9	3	3	2	4	8	2	1	1	10	1	3	2	2	2	4	0	6	0	1	1	10	1	0	0	2
OTU128	7	1	6	14	0	0	5	5	2	3	5	3	0	1	1	1	2	1	1	0	2	7	2	0	5	6	7	0	2	5	0	2	0	1	0	3	1	2	2	0	0	0
OTU632	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU122	0	0	0	2	0	1	3	7	2	4	0	4	1	2	2	4	0	1	1	0	1	1	0	0	1	1	3	0	0	1	5	8	0	1	6	0	0	0	1	0	1	1
OTU129	3	7	4	8	3	4	4	6	6	2	1	11	0	2	3	8	0	1	0	0	0	5	6	0	5	17	0	3	4	4	5	4	6	0	8	0	3	4	7	2	2	2
OTU34	8	25	21	26	17	18	18	54	19	36	11	56	5	5	26	50	9	33	1	7	11	13	2	3	10	29	6	15	9	22	3	6	5	2	9	5	24	2	4	5	2	5
OTU14	58	32	24	55	41	40	52	54	46	12	4	64	10	15	23	21	45	29	7	15	19	68	18	19	37	20	36	15	51	50	4	26	20	11	20	34	29	27	39	17	19	18
OTU268	41	25	10	31	24	21	30	14	49	10	3	34	8	12	8	7	30	9	7	18	13	30	1	3	23	11	12	6	14	7	2	20	5	6	11	8	10	9	21	7	3	6
OTU19	14	28	50	47	52	32	48	29	16	39	13	73	3	16	40	30	38	15	12	2	6	82	49	38	165	151	118	29	62	130	3	8	75	73	8	84	37	65	72	37	46	90
OTU1111	0	3	4	0	1	2	2	1	1	9	0	4	1	0	0	3	1	4	1	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU1238	2	2	2	8	0	2	3	0	0	0	4	0	0	1	3	2	1	1	2	0	1	0	0	0	0	0	3	0	0	2	0	0	0	1	1	1	1	0	1	0	0	0
OTU844	0	1	3	1	0	1	0	0	0	0	2	1	2	3	4	0	2	1	0	0	1	1	0	2	2	6	1	2	4	4	20	3	0	4	7	0	2	1	1	0	2	3
OTU29	11	17	54	37	35	12	42	28	6	45	9	93	5	9	23	10	17	11	6	3	2	11	13	5	5	27	6	2	10	12	2	0	13	19	1	10	2	17	11	4	3	11
OTU1267	3	3	0	20	1	4	7	19	8	18	5	8	6	6	8	23	2	5	2	14	12	10	6	0	5	10	4	1	0	1	23	32	2	0	33	1	3	1	3	3	0	10
OTU39	12	22	33	20	71	21	29	9	11	22	18	87	1	9	24	22	22	24	9	1	1	27	36	25	44	51	219	8	29	76	7	13	47	14	14	60	7	21	15	17	31	28
OTU127	2	0	0	6	1	0	1	5	1	1	1	6	2	0	1	2	1	3	0	2	7	3	0	1	3	4	0	0	0	3	3	14	3	1	3	1	1	2	2	2	0	3
OTU123	9	5	3	7	1	6	6	23	3	2	1	11	3	2	9	4	1	1	2	0	2	8	2	2	8	20	3	9	4	3	0	7	3	0	1	0	3	1	7	1	2	7
OTU55	11	10	45	30	26	8	17	16	4	30	10	82	4	4	6	24	7	4	8	7	5	2	1	1	1	1	0	1	1	4	10	17	0	5	6	0	9	9	1	2	5	4
OTU1006	3	5	12	10	7	4	7	7	5	9	4	25	2	0	1	4	5	4	2	4	4	1	2	2	2	13	2	0	0	1	1	7	3	0	4	3	5	3	0	0	1	4
OTU482	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
OTU16	23	27	288	67	61	27	23	46	10	110	16	102	4	9	36	58	12	12	11	3	4	3	4	1	12	42	8	2	7	4	5	8	7	10	4	16	3	9	14	1	8	6
OTU301	0	2	0	2	0	3	4	2	2	0	1	1	0	0	0	2	2	0	0	0	2	1	0	0	0	0	0	1	0	1	3	8	0	0	8	0	0	0	0	0	0	1
OTU90	0	1	3	9	2	0	1	2	0	1	1	2	1	0	1	4	0	0	0	1	3	6	2	0	1	3	3	1	2	1	12	16	0	1	16	0	1	0	1	0	0	1
OTU78	2	0	0	7	0	0	3	2	3	1	0	7	2	1	1	2	1	0	1	2	1	3	4	2	1	2	1	2	1	0	32	21	0	0	15	0	0	1	0	1	0	3
OTU633	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU858	0	4	10	1	4	6	7	4	4	6	4	13	3	2	2	3	5	4	1	2	4	4	0	0	1	0	1	0	0	4	3	2	2	1	5	1	3	0	4	1	0	0
OTU173	2	4	21	23	24	1	11	10	4	20	6	17	4	2	12	9	0	4	2	3	1	9	3	6	10	4	11	5	6	17	4	8	2	5	1	13	2	12	4	4	4	1
OTU359	0	2	4	6	3	3	3	8	3	14	1	4	7	5	2	11	1	5	1	12	12	10	2	0	1	4	6	5	0	2	5	9	0	0	4	0	0	0	1	2	0	2
OTU706	0	1	1	2	3	2	3	1	4	1	1	4	1	0	1	1	2	4	0	0	2	0	0	0	2	1	0	0	0	2	0	0	2	1	0	1	1	0	0	0	0	0
OTU22	7	2	5	31	2	7	6	23	13	27	20	6	28	13	38	48	4	8	3	17	13	32	8	1	10	84	15	2	0	2	48	60	3	0	47	1	8	1	0	6	1	33
OTU942	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	3	1	1	0	0	1	3	0	0	0	3	0	0	0	1	2	13	0	0	1	0	0	0	0	0	0	3
OTU1309	0	0	2	4	0	0	3	2	0	2	1	2	1	1	1	2	0	6	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	2	0	1
OTU51	8	2	11	18	12	5	16	5	2	5	5	16	5	6	6	7	12	2	3	6	2	26	7	4	16	10	18	3	16	31	3	2	10	9	2	17	3	28	12	14	9	23
OTU120	4	1	2	3	0	2	2	3	3	3	1	3	1	3	2	2	1	3	0	2	2	1	0	0	4	0	1	10	1	1	6	0	0	0	1	0	1	3	1	0	2	0
OTU131	0	0	0	1	1	1	0	4	0	3	2	0	2	1	0	8	0	0	1	0	2	0	0	0	0	1	0	0	0	1	10	13	0	0	7	0	0	0	0	0	0	0
OTU293	26	6	6	18	12	9	22	9	21	3	0	24	3	5	9	1	23	4	5	6	2	13	3	1	12	10	7	5	2	10	1	3	4	2	11	12	6	1	16	1	3	1
OTU224	0	1	1	13	0	2	1	14	3	8	7	4	4	0	6	14	2	0	2	7	2	1	1	0	3	2	4	3	0	0	3	11	0	1	5	0	0	0	0	0	0	3
OTU495	0	0	0	1	1	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
OTU181	0	2	0	3	2	0	3	2	0	0	0	3	3	1	6	6	1	0	0	1	0	9	1	3	0	2	2	1	3	6	9	4	0	4	3	3	0	6	3	0	2	2
OTU710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU37	8	13	26	24	24	6	11	8	7	19	3	39	1	5	7	11	16	9	1	5	3	19	6	6	16	31	17	19	11	49	3	12	12	24	2	15	15	8	10	3	5	8
OTU52	3	8	5	6	1	7	4	7	8	1	2	18	1	1	1	3	5	1	2	1	4	4	5	68	9	5	1	3	28	8	3	2	56	2	11	15	3	21	13	3	23	1
OTU1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU398	0	0	0	1	0	0	1	2	0	2	1	0	4	0	1	1	2	0	0	2	2	0	0	1	1	0	1	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0
OTU708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
