	HIDRoot12	MorexRoot12	HIDRoot11	RumRhizo12	RumRoot11	MorexRoot11	RumRoot10	HIDRhizo12	MorexRhizo10	HIDRhizo11	RumRhizo10	HIDRoot10	Bulk10	MorexRhizo11	MorexRhizo12	HIDRhizo10	MorexRoot10	RumRhizo11	RumRoot12	Bulk11	Bulk12	MorexRhizo20	RumRhizo21	RumRoot22	MorexRhizo22	RumRhizo20	MorexRhizo23	HIDRhizo21	MorexRoot23	MorexRoot20	Bulk23	Bulk20	RumRoot20	HIDRoot20	Bulk22	MorexRoot22	HIDRhizo22	HIDRoot21	HIDRoot22	RumRhizo22	RumRoot21	HIDRhizo20
HIDRoot12	0.0	0.319356104814	0.299621078948	0.327855285708	0.198522786651	0.264485801497	0.351655119323	0.307470267269	0.306547803052	0.35240348835	0.251537075696	0.317178844706	0.361363267012	0.359168726853	0.345463039991	0.378644517516	0.256841547648	0.354790816194	0.402273227972	0.377804731614	0.329259748437	0.377958204937	0.419722187461	0.465534932689	0.30534571048	0.401669285153	0.24257331732	0.467700546453	0.405487666742	0.322973534407	0.507544544288	0.405852617389	0.31652268526	0.326525381857	0.464181530441	0.293928082057	0.353848898845	0.346990106465	0.359572202519	0.426923202495	0.454825529197	0.391588688362
MorexRoot12	0.319356104814	0.0	0.378567764145	0.353963493618	0.300262231749	0.256803984922	0.353088750342	0.432047313753	0.340588884093	0.413907985525	0.322643255611	0.308501823195	0.401805153573	0.402267678229	0.372794364388	0.386476318441	0.310555081829	0.373720186348	0.393069810225	0.438676048117	0.379375537637	0.462441117523	0.459104596278	0.516426972789	0.348879137013	0.437546469217	0.332873544769	0.500168405417	0.448566583306	0.35217141143	0.578680131126	0.502187143058	0.361377457747	0.403777081403	0.534912090229	0.405332766366	0.370283979508	0.332103592496	0.361284541977	0.431056122436	0.534497203832	0.45639173734
HIDRoot11	0.299621078948	0.378567764145	0.0	0.305870064493	0.274886880751	0.253429684271	0.286081930001	0.329065707551	0.292790512524	0.272417189474	0.345124632136	0.258163018773	0.406231650997	0.306806057768	0.391859049549	0.332009717104	0.201873210197	0.383949087467	0.506136649413	0.365443410736	0.371679202433	0.431763579438	0.305298967721	0.355501165247	0.387874126906	0.335738614034	0.332184283614	0.476825351364	0.366900170577	0.271827439799	0.51166952723	0.451492281605	0.357490951806	0.329802318582	0.502183883495	0.302528714735	0.351855677692	0.311590137009	0.367082036661	0.357662589264	0.386646754571	0.402267174713
RumRhizo12	0.327855285708	0.353963493618	0.305870064493	0.0	0.318888553609	0.288443728832	0.30866298873	0.217585308191	0.241377525269	0.236023351029	0.297703273264	0.21529012784	0.358268688176	0.405823401003	0.286265170046	0.195405568412	0.351746216654	0.31705331333	0.532651010926	0.313358739359	0.277451773623	0.339498224223	0.353337393046	0.528821554379	0.221100644942	0.245628473235	0.275307188226	0.402574093062	0.429983481286	0.311943899543	0.389884953521	0.260519314869	0.428814245978	0.446083964328	0.330579700356	0.409670313879	0.334492958694	0.428873278555	0.444809382338	0.451876043809	0.535532523261	0.277334010039
RumRoot11	0.198522786651	0.300262231749	0.274886880751	0.318888553609	0.0	0.285734225565	0.38776455426	0.382136222444	0.26308912834	0.377737689207	0.241607548221	0.267300879844	0.346110939882	0.318556825078	0.297929118225	0.38453681721	0.23193060743	0.301582346125	0.351349389224	0.343445402351	0.327798759538	0.427194155276	0.389495203648	0.446553796549	0.31463673557	0.404310229481	0.244397697255	0.483165299619	0.351985899146	0.302403478422	0.563066952689	0.484103992983	0.296507170799	0.307639116352	0.527697303802	0.268617029267	0.348835577638	0.309202082644	0.327668894123	0.405801006945	0.432180813931	0.405676165198
MorexRoot11	0.264485801497	0.256803984922	0.253429684271	0.288443728832	0.285734225565	0.0	0.312815392503	0.324405068286	0.313539838498	0.354712966527	0.269884334551	0.230500337524	0.299924627951	0.309231515724	0.290035333255	0.304334700934	0.264227715049	0.307655117702	0.475050346834	0.338645596623	0.322700312582	0.399187553266	0.400452686446	0.462741544441	0.285940795999	0.345665003294	0.241111555747	0.412440821904	0.406771142201	0.332755143398	0.505823563887	0.440860215054	0.302806905866	0.386371327018	0.501256725001	0.30547989642	0.29638897996	0.357085764112	0.343301432088	0.392185060715	0.42465910393	0.388516798866
RumRoot10	0.351655119323	0.353088750342	0.286081930001	0.30866298873	0.38776455426	0.312815392503	0.0	0.394011728721	0.291644280157	0.381205296542	0.364256524536	0.251535896455	0.439835548689	0.353387840268	0.41130193294	0.363556862901	0.273935765847	0.457590945837	0.518981013146	0.462350515126	0.388981158594	0.452235556836	0.370418667058	0.451647797438	0.369503693104	0.399622695587	0.35802067713	0.347225359614	0.50418637955	0.304862591335	0.469552826151	0.443215752146	0.450786446586	0.391852472306	0.426586090628	0.445996990796	0.426264630786	0.326939681901	0.446929112245	0.43683910035	0.490151170172	0.314040755659
HIDRhizo12	0.307470267269	0.432047313753	0.329065707551	0.217585308191	0.382136222444	0.324405068286	0.394011728721	0.0	0.343028527866	0.224693395192	0.368802638676	0.335028633524	0.37113989457	0.382358938027	0.315370451849	0.260473250861	0.40650809083	0.362814934381	0.58860986528	0.28283803063	0.288402785754	0.214329099109	0.367974204595	0.549538628894	0.329627137849	0.314362031635	0.332818384508	0.344931322962	0.45121057291	0.378644672763	0.304420727843	0.233706084611	0.465079814456	0.495703436445	0.292898807126	0.421345736189	0.318578180412	0.479493628574	0.478586964674	0.47663818778	0.553204823931	0.287083689921
MorexRhizo10	0.306547803052	0.340588884093	0.292790512524	0.241377525269	0.26308912834	0.313539838498	0.291644280157	0.343028527866	0.0	0.270297891669	0.22896570435	0.200366568417	0.32559992916	0.269950667616	0.304806129769	0.304263603516	0.237077800064	0.341019663863	0.474436989916	0.371343713232	0.317725160929	0.423786095761	0.291776214801	0.463649051655	0.267761393358	0.381825178098	0.259231539305	0.461596365733	0.460336745432	0.298967928088	0.485083378123	0.407005573059	0.41230067769	0.358246493979	0.439418464092	0.39510198846	0.362178414763	0.322703671255	0.431162246013	0.366830909396	0.452707454718	0.386460562578
HIDRhizo11	0.35240348835	0.413907985525	0.272417189474	0.236023351029	0.377737689207	0.354712966527	0.381205296542	0.224693395192	0.270297891669	0.0	0.344990350408	0.279612606895	0.354695847318	0.356282774783	0.329957257594	0.256348209511	0.344251172619	0.358324294112	0.579355040984	0.372094824266	0.357911932275	0.31761439	0.326225192554	0.48838636745	0.32304028585	0.346202144191	0.362514671664	0.476707908272	0.462816263492	0.338009515664	0.37760895308	0.326866476482	0.466034067624	0.43829593343	0.368427242075	0.439314125174	0.3435905002	0.412035017492	0.46124513822	0.414432949755	0.49016578538	0.385722557401
