R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU56	0	0	0	0	2	0	4	30	163	198	9	8	27	0	35	0	0	0	0	13	9	15	5	5	0	0	0	0	0	1
OTU40	0	0	0	19	0	0	0	2	0	4	91	43	261	157	245	32	5	4	39	1	1	0	0	2	16	14	10	8	5	0
OTU879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU376	0	0	0	0	0	0	0	1	0	0	1	0	5	2	0	4	0	0	10	0	0	0	0	0	0	0	12	0	0	0
OTU120	0	0	0	8	0	1	0	9	0	2	4	8	63	27	76	4	0	0	2	1	0	0	1	0	0	1	1	0	0	0
OTU1057	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1325	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU409	0	0	0	0	0	0	0	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU826	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU488	0	0	0	0	1	0	0	2	3	1	0	0	19	0	36	2	202	0	14	12	23	20	6	41	0	0	0	9	6	7
OTU172	0	0	0	2	0	0	1	2	0	0	6	4	14	18	29	7	0	1	6	0	0	0	0	0	1	2	1	0	0	0
OTU267	0	0	0	0	5	0	1	1	0	3	0	21	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2
OTU644	0	0	0	0	1	0	1	4	2	3	5	0	0	0	1	0	0	0	3	3	2	0	0	0	0	0	3	0	0	1
OTU638	0	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU60	0	0	0	19	0	0	0	0	0	0	15	33	98	60	231	28	13	11	29	0	0	0	0	0	21	8	11	35	2	0
OTU232	0	0	0	1	0	0	0	2	0	0	21	5	60	52	71	24	1	1	8	0	0	0	1	0	0	12	15	17	1	0
OTU515	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
OTU1074	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU866	0	0	0	1	0	0	0	4	0	1	1	0	16	30	15	0	0	0	0	0	2	0	1	1	0	0	2	0	2	1
OTU80	0	0	0	5	3	3	7	59	5	15	11	65	186	71	240	44	7	20	31	6	3	2	1	2	7	16	9	10	10	1
OTU185	0	0	0	0	0	0	0	0	0	0	2	5	6	24	5	6	0	24	0	0	0	1	0	0	12	0	1	6	0	1
OTU873	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU201	0	0	0	0	0	8	0	0	1	1	17	21	0	0	1	17	0	0	0	7	13	1	1	0	0	0	0	0	1	0
OTU950	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU450	0	0	0	0	0	0	0	0	0	1	1	6	3	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU616	0	0	0	149	0	0	0	0	1	2	70	197	118	40	103	454	4	0	0	4	3	1	0	0	9	0	12	4	0	0
OTU420	0	0	0	0	1	0	1	0	0	0	0	2	0	8	0	0	0	0	0	0	1	1	0	0	0	0	5	3	0	3
OTU505	0	0	0	0	1	0	0	7	0	0	0	1	1	0	1	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0
OTU379	0	0	0	0	0	1	0	1	0	0	4	4	2	1	0	9	0	1	0	2	3	0	0	0	0	0	0	0	0	2
OTU1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1351	0	0	0	0	0	0	0	1	1	0	0	3	10	12	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU179	0	0	0	7	1	15	0	0	0	0	63	53	12	3	19	70	1	0	0	5	7	0	0	0	0	0	1	1	0	0
OTU862	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0
OTU853	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0
OTU103	0	0	0	3	0	5	0	0	0	0	24	38	16	1	2	107	0	0	0	1	4	0	0	0	0	0	12	0	0	0
OTU1380	0	0	0	2	0	0	0	0	0	0	9	17	32	25	48	10	22	19	40	1	0	0	0	0	0	3	2	4	0	0
OTU209	0	0	0	3	1	0	0	0	0	0	5	5	24	20	21	0	0	2	16	0	0	0	0	0	0	1	0	7	0	0
OTU210	0	0	0	7	0	0	0	2	0	1	0	0	7	0	25	4	0	0	2	1	0	0	0	0	0	0	10	37	0	0
OTU46	0	0	0	96	0	2	0	0	0	0	68	112	112	3	223	388	5	8	2	2	5	1	0	0	40	1	33	54	0	0
OTU298	0	0	0	6	0	1	0	4	0	0	50	4	149	43	88	43	0	36	12	0	0	1	0	0	8	3	0	3	0	2
OTU277	0	0	0	3	1	0	1	0	0	1	0	1	5	13	12	1	5	0	13	0	0	0	0	0	6	0	1	0	5	0
OTU1419	0	0	0	2	0	0	0	0	0	0	3	0	0	2	8	0	0	2	3	0	0	0	0	0	0	2	0	1	0	0
OTU282	0	0	0	1	0	12	0	0	0	0	5	8	0	2	5	11	0	0	0	1	2	1	0	0	0	0	0	0	0	0
OTU94	0	0	0	21	0	0	1	3	1	1	19	10	76	21	152	28	2	10	37	1	1	2	0	0	10	5	19	26	3	0
OTU954	0	0	0	1	0	0	0	0	0	0	3	0	7	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU57	0	0	0	146	0	1	0	0	0	0	58	155	58	19	25	526	2	1	0	1	7	0	0	0	1	0	1	6	0	0
OTU662	0	0	0	13	0	1	0	2	0	1	5	7	66	28	54	8	8	1	18	0	1	0	0	0	1	7	6	8	2	0
OTU135	0	0	0	4	0	10	0	0	1	1	37	52	10	14	7	81	0	0	0	1	0	0	0	0	0	0	1	1	0	0
OTU419	0	0	0	1	0	0	0	1	1	0	0	4	1	0	18	1	0	1	2	0	0	0	0	0	1	0	8	2	0	0
OTU110	0	0	0	21	0	8	1	0	0	1	32	160	7	13	32	127	2	0	2	12	15	0	0	0	11	0	24	10	0	0
OTU368	0	0	0	3	0	0	0	0	0	0	1	11	11	2	8	2	1	0	1	1	0	0	0	0	0	0	2	15	0	0
OTU324	0	0	0	3	0	0	0	2	0	0	0	0	12	1	29	1	0	0	12	0	0	0	0	0	19	2	7	0	0	0
OTU1108	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	0	0	0	141	0	1	0	0	0	0	187	534	159	13	63	925	11	24	4	3	1	0	0	0	5	0	13	3	0	0
OTU900	0	0	0	7	0	0	1	4	0	0	13	5	35	4	50	10	0	0	9	0	0	0	0	0	1	17	4	4	0	0
OTU89	0	0	0	6	0	0	0	8	1	3	3	10	111	52	136	17	7	4	23	0	0	0	0	0	27	7	17	15	3	0
OTU258	0	0	0	5	0	0	0	5	3	2	3	4	37	9	58	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0
OTU256	0	0	0	1	0	2	0	17	4	3	0	1	9	2	14	5	0	0	0	1	5	4	1	0	0	0	0	2	1	0
OTU167	0	0	0	1	0	0	0	3	0	0	5	3	53	24	71	9	2	2	18	0	1	0	0	0	4	0	3	0	0	0
OTU434	0	0	0	1	0	1	0	3	1	1	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0
OTU309	0	0	0	1	0	0	0	5	0	0	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU238	0	0	0	4	0	0	0	2	0	0	5	4	28	19	35	9	0	3	17	0	0	0	0	0	0	4	4	4	0	0
OTU461	0	0	0	6	0	1	0	0	0	0	2	0	1	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU557	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU227	0	0	0	20	0	3	0	0	0	9	9	32	4	1	18	139	0	1	0	3	0	0	0	0	0	0	0	0	0	0
OTU205	0	0	0	1	0	1	3	11	0	4	3	8	6	12	46	3	0	0	0	0	0	0	0	1	2	1	2	2	3	0
OTU189	0	0	0	10	0	0	0	3	0	0	6	7	22	17	29	3	0	0	1	0	0	0	0	0	1	3	4	0	0	0
OTU250	0	0	0	5	0	0	0	1	0	0	10	4	22	70	58	3	7	7	20	0	2	0	0	0	3	2	24	3	0	0
OTU382	0	0	0	2	0	0	0	1	0	2	0	2	11	3	9	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0
OTU831	0	0	0	18	0	0	0	0	0	1	9	70	33	7	27	143	1	0	0	0	2	0	0	0	4	0	8	1	1	0
OTU484	0	0	0	1	0	0	0	0	1	0	0	0	2	0	19	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0
OTU383	0	0	0	4	0	2	0	0	0	1	1	7	2	0	4	24	0	0	0	3	4	0	0	0	0	0	0	0	1	0
OTU184	0	0	0	2	0	0	0	0	0	0	6	6	15	14	24	4	0	15	4	0	0	0	0	0	2	6	0	3	0	0
OTU815	0	0	0	4	0	0	0	2	0	0	0	0	0	26	9	5	0	5	2	0	0	1	1	0	3	1	2	3	0	0
OTU143	0	0	0	3	0	0	0	9	0	2	1	2	11	9	39	4	0	0	1	0	0	2	0	1	0	1	0	0	4	0
OTU1065	0	0	0	4	0	6	0	0	0	0	7	9	16	2	19	29	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU556	0	0	0	1	0	0	0	0	0	1	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1279	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU71	0	0	0	6	0	0	0	3	0	1	16	23	90	35	134	7	0	0	13	0	0	0	0	1	11	1	14	3	52	0
OTU155	0	0	0	6	1	0	0	3	0	0	1	1	53	29	58	12	3	0	3	2	1	0	0	0	0	6	1	2	2	0
OTU1439	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU375	0	0	0	4	0	2	0	0	0	0	6	17	1	0	0	9	0	0	0	1	0	0	0	0	0	0	3	0	0	0
OTU1270	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU674	0	0	0	1	0	1	0	0	0	0	5	2	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU365	0	0	0	3	0	1	0	0	0	0	10	15	7	2	2	30	0	0	0	1	5	0	0	0	0	0	6	0	0	0
OTU649	0	0	0	4	0	0	0	0	0	0	1	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU795	0	0	0	1	0	3	0	0	0	1	4	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU49	0	0	0	3	0	0	0	3	0	1	23	53	309	82	221	33	25	12	129	0	1	0	2	0	27	60	35	26	1	0
OTU1327	0	0	0	3	0	0	0	0	0	0	0	0	1	2	1	1	0	0	63	0	0	0	0	0	7	11	1	0	0	0
OTU228	0	0	0	1	1	0	0	0	0	0	0	6	34	1	7	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
OTU253	0	0	0	3	3	8	0	0	0	1	9	27	1	0	1	32	2	0	0	5	4	1	0	0	0	0	0	0	0	0
OTU1250	0	0	0	2	0	1	0	0	0	0	5	8	2	4	12	94	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU541	0	0	0	3	0	10	0	0	0	0	17	6	4	1	2	38	2	0	0	0	0	0	0	0	0	0	4	4	0	0
OTU223	0	0	0	1	0	0	2	0	0	0	0	1	15	29	27	5	1	18	25	0	0	0	0	0	51	1	6	0	0	0
OTU85	0	0	0	2	0	0	0	6	0	0	1	31	35	46	96	26	0	0	3	0	0	0	0	0	2	7	25	16	1	4
OTU1146	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU576	0	0	0	1	0	0	0	4	0	2	0	0	12	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU654	0	0	0	1	2	1	0	3	0	0	0	0	2	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
OTU1000	0	0	0	2	0	0	0	0	0	0	9	1	3	16	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU293	0	0	0	1	0	0	0	1	0	0	0	0	5	1	9	1	1	0	4	0	0	0	0	0	0	0	0	6	0	0
OTU544	0	0	0	1	0	0	0	0	0	0	0	0	10	10	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU564	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU317	0	0	0	4	1	15	1	1	0	1	15	12	4	2	12	23	0	0	0	1	3	0	0	0	1	0	3	1	0	0
OTU196	0	0	0	1	0	0	0	0	0	0	0	10	23	0	8	0	6	18	13	0	0	0	0	0	0	0	1	8	0	0
OTU432	0	0	0	2	0	0	0	3	0	0	0	1	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU578	0	0	0	2	1	0	1	0	0	0	0	0	2	1	0	0	3	0	4	0	0	0	0	1	0	0	0	0	0	1
OTU108	0	0	0	1	0	0	0	0	1	1	21	55	22	0	17	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU178	0	0	0	4	0	0	1	3	0	2	6	2	21	3	77	10	0	2	2	0	0	0	0	0	0	7	26	54	0	0
OTU878	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU117	0	0	0	5	0	2	0	0	3	4	28	100	3	9	21	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU299	0	0	0	1	0	0	0	4	0	0	0	0	2	2	24	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0
OTU249	0	0	0	3	1	0	2	23	6	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
OTU292	0	0	0	1	0	1	0	0	1	0	7	13	0	0	0	26	0	0	0	0	0	0	0	0	0	0	18	0	0	0
OTU479	0	0	0	1	0	1	1	9	0	0	0	0	0	3	1	2	0	0	0	0	0	11	0	2	0	0	4	0	2	0
OTU162	0	0	0	3	0	0	0	0	0	0	0	64	17	8	1	38	0	3	0	1	2	1	0	0	0	0	2	0	0	0
OTU498	0	0	0	1	1	3	1	14	2	6	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU1263	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1281	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU336	0	0	0	3	0	6	0	0	1	0	0	3	0	0	6	11	0	0	0	4	2	1	0	0	0	0	0	0	0	0
OTU344	0	0	0	3	0	0	0	0	0	0	0	1	2	0	14	24	0	0	0	0	0	0	0	0	5	0	4	1	0	0
OTU829	0	0	0	1	0	3	0	0	0	0	2	9	1	1	1	21	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU1020	0	0	0	1	0	0	0	0	0	1	0	0	2	6	5	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
OTU333	0	0	0	2	0	0	0	0	0	0	0	1	10	3	21	1	0	0	0	0	0	0	0	0	0	0	10	11	0	0
OTU785	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU87	0	0	0	4	0	0	0	5	0	1	20	12	80	58	101	17	2	0	24	0	0	0	0	0	6	5	7	5	0	0
OTU175	0	0	0	1	0	0	1	6	0	1	15	2	28	31	18	2	0	0	0	0	0	0	0	0	1	1	0	3	2	0
OTU176	0	0	0	4	0	3	0	0	0	0	19	46	3	1	11	61	0	0	0	1	3	0	0	0	0	0	7	0	0	0
OTU146	0	0	0	1	0	1	0	0	0	0	2	5	37	17	29	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU518	0	0	0	1	0	0	0	0	0	0	5	4	25	18	14	3	1	1	4	0	0	0	0	0	0	0	22	0	0	0
OTU633	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	1	0	1	0	0	0	0	1	0
OTU290	0	0	0	1	0	1	3	0	0	0	0	3	0	10	4	0	1	2	3	0	0	0	0	0	10	1	5	0	0	0
OTU1349	0	0	0	2	0	0	1	7	0	1	1	8	39	10	102	12	4	0	8	0	1	0	1	0	1	4	3	21	0	0
OTU315	0	0	0	1	0	0	1	5	0	2	1	8	11	6	55	2	0	1	5	0	0	0	0	1	2	0	1	0	1	0
OTU808	0	0	0	1	0	0	0	2	0	0	9	8	36	22	35	6	36	22	112	0	0	0	0	3	4	8	6	1	0	0
OTU543	0	0	0	1	0	0	0	0	0	2	3	4	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU600	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0
OTU430	0	0	0	1	0	0	0	13	1	1	2	0	2	0	18	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU497	0	0	0	1	0	0	0	0	0	0	0	1	10	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU305	0	0	0	1	1	1	0	0	0	0	0	5	6	1	5	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1046	0	0	0	1	0	0	0	13	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1096	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU832	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU360	0	0	0	0	1	0	2	7	0	2	1	1	3	0	9	0	0	0	0	2	3	4	7	0	0	0	0	1	0	8
OTU385	0	0	0	0	1	14	0	0	2	0	4	5	8	0	2	6	0	0	0	4	4	0	0	0	0	0	0	0	0	0
OTU846	0	0	0	0	2	0	0	8	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
OTU833	0	0	0	0	1	0	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU942	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU825	0	0	0	0	1	0	0	3	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU713	0	0	0	0	1	0	0	2	0	0	0	0	4	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU325	0	0	0	0	1	0	0	4	0	4	0	0	2	0	19	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU1367	0	0	0	0	1	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0
OTU989	0	0	0	0	1	0	1	1	2	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU1116	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU699	0	0	0	0	1	0	4	14	0	7	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
OTU567	0	0	0	0	1	0	1	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1328	0	0	0	0	1	1	0	6	1	0	0	6	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU485	0	0	0	0	2	0	0	10	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU904	0	0	0	0	1	0	1	6	0	1	1	0	0	3	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0
OTU965	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1022	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU514	0	0	0	0	1	0	0	4	0	0	1	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU340	0	0	0	0	1	1	0	8	0	1	1	0	0	0	3	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0
OTU1400	0	0	0	0	1	12	0	0	0	2	4	1	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0
OTU572	0	0	0	0	1	0	0	6	1	0	0	1	0	0	2	1	1	0	9	1	0	0	0	0	0	0	0	0	3	0
OTU749	0	0	0	0	1	0	0	5	2	1	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU639	0	0	0	0	2	1	2	2	0	2	1	0	1	0	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0
OTU495	0	0	0	0	1	1	2	0	0	0	5	13	62	35	46	18	0	0	0	0	0	0	1	0	0	0	10	0	2	0
OTU476	0	0	0	0	1	1	0	9	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
OTU260	0	0	0	0	3	0	0	2	3	0	0	6	0	5	56	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU348	0	0	0	0	2	0	0	21	3	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
OTU1125	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1404	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1220	0	0	0	0	1	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU680	0	0	0	0	1	3	0	0	0	2	4	1	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0
OTU215	0	0	0	0	2	1	0	20	0	6	7	6	23	34	61	8	0	0	3	1	0	1	1	2	0	0	3	2	3	0
OTU670	0	0	0	0	1	1	2	1	0	0	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU538	0	0	0	0	2	0	1	6	0	0	0	1	0	0	5	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
OTU1399	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1082	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1365	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU316	0	0	0	0	1	1	2	1	0	0	1	2	11	8	21	2	8	0	11	0	6	0	0	1	1	0	3	0	0	1
OTU560	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU847	0	0	0	0	1	0	0	3	0	4	0	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0
OTU646	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU397	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU817	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1181	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU911	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU300	0	0	0	0	0	1	1	3	0	2	0	1	2	4	44	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU1266	0	0	0	0	0	8	0	0	2	2	0	0	0	0	0	0	0	0	0	8	9	4	0	0	0	0	0	0	0	0
OTU459	0	0	0	0	0	11	0	0	0	0	12	14	4	0	9	27	0	0	0	2	1	0	0	0	0	0	0	2	0	0
OTU711	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU839	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU691	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU1308	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU517	0	0	0	0	0	1	0	0	0	0	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU231	0	0	0	0	0	8	0	2	0	0	5	13	16	4	9	6	0	0	0	8	2	0	0	0	0	0	1	0	0	0
OTU1410	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2
OTU1063	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2
OTU331	0	0	0	0	0	2	0	0	0	0	4	9	0	0	4	5	0	0	0	1	3	0	0	0	0	0	2	0	1	0
OTU1111	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU618	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	2	0	0	0	0	5	0	0	0	0	0	1	0	0	0
OTU1382	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU396	0	0	0	0	0	2	1	11	1	7	1	0	4	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU671	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU712	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU860	0	0	0	0	0	2	0	5	3	0	10	0	19	29	13	0	1	1	9	0	1	0	0	0	0	0	0	7	0	0
OTU596	0	0	0	0	0	1	0	0	1	0	0	10	0	1	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0
OTU370	0	0	0	0	0	1	0	15	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
