R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU90	0	0	0	61	0	35	0	0	0	2	100	76	52	11	13	204	0	0	0	1	0	0	0	0	4	0	7	6	0	0
OTU5	0	0	1	594	0	3	0	1	4	1	1477	3482	1081	400	1324	6235	68	48	22	3	8	1	0	1	520	17	215	46	1	1
OTU426	0	1	0	0	0	0	2	15	1	2	5	8	23	11	54	5	4	9	11	6	0	2	1	4	1	1	2	0	2	0
OTU70	25	29	8	0	154	36	130	9	36	59	0	0	0	13	0	1	0	0	0	1	8	2	1	0	0	0	0	0	2	1
OTU115	6	1	2	0	1	0	0	130	7	8	0	0	0	3	79	0	1	0	3	8	7	6	1	7	0	0	0	0	7	1
OTU513	1	0	0	16	0	0	0	3	0	1	56	20	106	190	131	18	28	20	520	1	0	0	0	8	165	48	4	41	5	0
OTU26	49	57	25	1	27	6	20	7	60	46	4	46	53	5	65	8	60	57	23	41	39	23	115	116	155	1	61	2	72	65
OTU83	10	11	1	0	29	2	10	6	21	34	0	0	0	0	0	0	0	0	0	48	43	48	13	7	0	0	0	0	5	11
OTU198	1	0	2	0	1	0	2	40	2	5	0	0	4	1	43	1	1	0	1	7	6	4	1	4	0	2	0	0	1	1
OTU731	3	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU245	1	1	0	0	0	0	0	0	0	0	0	1	3	6	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1189	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU719	1	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU48	3	2	0	0	4	0	3	0	1	0	0	0	2	0	0	0	6	44	2	162	79	73	93	74	5	0	22	0	22	23
OTU516	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	2	0	0	0	337	31	251	26	186	60	0	0	8	0	0	0	0	0	0	36	35	92	7	1	0	0	11	8	13	11
OTU261	1	0	1	0	1	2	1	22	1	1	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	6	0
OTU602	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0
OTU386	1	0	1	0	3	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU314	1	0	0	0	0	0	0	0	0	0	9	0	8	1	6	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU24	2	0	4	69	9	12	28	15	0	1	29	69	275	198	259	84	24	35	365	4	0	0	1	6	146	17	142	13	5	0
OTU1215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU358	1	2	0	0	4	0	3	0	2	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
OTU150	4	4	2	1	3	0	2	1	4	11	0	0	0	2	36	0	0	5	1	4	3	5	1	2	9	0	18	0	0	12
OTU614	1	0	0	0	0	6	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU442	1	0	0	1	0	0	0	0	0	0	0	1	9	8	12	3	0	0	0	0	0	0	0	0	0	0	4	1	0	0
OTU50	2	0	0	5	0	0	0	0	0	0	52	241	52	42	65	375	1	1	0	0	0	0	0	0	0	2	0	0	0	0
OTU897	1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	6	11	0	2	5	3	2	0	5	4	0	0	0	0	0	16	12	0	3	53	16	28	2	0	0	0	0	0	0	2
OTU393	2	0	1	0	1	1	0	26	1	9	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0
OTU1016	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU234	1	3	1	0	2	2	3	31	3	38	3	1	5	5	16	0	8	0	0	7	3	8	1	2	2	0	2	3	4	10
OTU355	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU297	1	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU406	2	1	4	0	4	1	0	46	2	10	5	0	6	2	15	1	18	0	0	11	7	17	8	7	0	0	6	4	7	13
OTU435	1	0	0	0	0	1	0	16	1	2	0	2	0	0	14	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
OTU59	1	0	0	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	418	0	0	0	0	0
OTU352	1	0	4	0	1	28	0	1	2	4	1	4	0	0	3	5	0	0	0	19	19	7	0	5	0	0	0	0	0	0
OTU187	1	0	3	2	2	15	1	1	1	0	5	18	5	2	5	29	2	0	0	30	31	1	0	0	0	0	0	0	0	0
OTU443	1	0	0	0	0	3	0	2	0	0	1	4	1	0	1	3	0	0	0	1	2	0	1	0	0	0	0	0	2	0
